State,State Abbr,N,mean_senti,
Alabama,AL,21,-0.685,
Alaska,AK,105,-0.398,
Arizona,AZ,26,-0.302,
Arkansas,AR,0,0,
California,CA,599,-0.316,
Colorado,CO,58,-0.03,
Connecticut,CT,149,-0.252,
Delaware,DE,0,0,
District of Columbia,DC,0,0,
Florida,FL,94,-0.434,
Georgia,GA,29,-0.302,
Hawaii,HI,33,-0.132,
Idaho,ID,0,0,
Illinois,IL,0,0,
Indiana,IN,0,0,
Iowa,IA,26,-0.54,
Kansas,KS,0,0,
Kentucky,KY,35,-0.383,
Louisiana,LA,56,-0.559,
Maine,ME,38,-0.233,
Maryland,MD,29,-0.131,
Massachusetts,MA,48,-0.411,
Michigan,MI,89,-0.394,
Minnesota,MN,0,0,
Mississippi,MS,0,0,
Missouri,MO,0,0,
Montana,MT,39,-0.483,
Nebraska,NE,0,0,
Nevada,NV,0,0,
New Hampshire,NH,0,0,
New Jersey,NJ,342,-0.377,
New Mexico,NM,0,0,
New York,NY,0,0,
North Carolina,NC,48,-0.347,
North Dakota,ND,26,-0.375,
Ohio,OH,36,-0.628,
Oklahoma,OK,27,-0.223,
Oregon,OR,47,-0.337,
Pennsylvania,PA,69,-0.138,
Rhode Island,RI,0,0,
South Carolina,SC,0,0,
South Dakota,SD,0,0,
Tennessee,TN,28,-0.341,
Texas,TX,113,-0.432,
Utah,UT,22,-0.267,
Vermont,VT,24,-0.458,
Virginia,VA,36,-0.064,
West Virginia,WV,65,-0.425,
Wyoming,WY,26,-0.44,